,terrestrial_hci,x,y,aggdp2010,ntlharm2020,popden2010,hmnlc2020,roadden,tt_cities_over_5k,tt_ports_large,mineden
terrestrial_hci,1.0,0.009399326872146516,-0.14422318227310515,0.6673788126707839,0.7816888150815066,0.5743768126966851,0.5844557724564002,0.6508307737377267,0.37344692594618967,0.35996683280069325,0.09418944632463375
x,0.009399326872146516,1.0,-0.0364502147561575,0.11591198059454529,-0.02970538750118513,0.07682261152214116,-0.10385117921923827,0.01134922084577015,-0.0022079966978630133,0.04010640438867609,0.004668144376403087
y,-0.14422318227310515,-0.0364502147561575,1.0,-0.08173486233138955,-0.06966300853583147,-0.05223470874753119,0.07711542936635335,-0.04937006182037242,-0.3290555301162094,-0.4332203134974552,-0.037337745704731876
aggdp2010,0.6673788126707839,0.11591198059454529,-0.08173486233138955,1.0,0.4806283466076611,0.46918276759750144,0.37481245436809213,0.41014596479314264,0.22517599221334797,0.21253945057156345,0.004249221678175244
ntlharm2020,0.7816888150815066,-0.02970538750118513,-0.06966300853583147,0.4806283466076611,1.0,0.5533853952748863,0.33341025134493224,0.5664779324013666,0.2671530579667984,0.24874609296493108,0.06204100731404766
popden2010,0.5743768126966851,0.07682261152214116,-0.05223470874753119,0.46918276759750144,0.5533853952748863,1.0,0.2562293248466264,0.5290297890838048,0.12967561338669145,0.11301835950690847,0.013262181841941025
hmnlc2020,0.5844557724564002,-0.10385117921923827,0.07711542936635335,0.37481245436809213,0.33341025134493224,0.2562293248466264,1.0,0.245713152913241,-0.16655886009855897,-0.17539985504784494,-0.008783310600527432
roadden,0.6508307737377267,0.01134922084577015,-0.04937006182037242,0.41014596479314264,0.5664779324013666,0.5290297890838048,0.245713152913241,1.0,0.20710145784272233,0.2064439389442193,0.02558943172312265
tt_cities_over_5k,0.37344692594618967,-0.0022079966978630133,-0.3290555301162094,0.22517599221334797,0.2671530579667984,0.12967561338669145,-0.16655886009855897,0.20710145784272233,1.0,0.9267282996156753,0.027263490098174782
tt_ports_large,0.35996683280069325,0.04010640438867609,-0.4332203134974552,0.21253945057156345,0.24874609296493108,0.11301835950690847,-0.17539985504784494,0.2064439389442193,0.9267282996156753,1.0,0.031034307382125648
mineden,0.09418944632463375,0.004668144376403087,-0.037337745704731876,0.004249221678175244,0.06204100731404766,0.013262181841941025,-0.008783310600527432,0.02558943172312265,0.027263490098174782,0.031034307382125648,1.0
